"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","110781","test_request_migration_trtllm_aggregated[migration_disabled-graceful_shutdown-chat-stream-nats]","tests.fault_tolerance.migration","2026-04-09","passed","2026-04-09","","test_trtllm","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_trtllm_aggregated[migration_disabled-worker_failure-completion-unary-tcp]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_trtllm","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","50624","test_request_migration_vllm_aggregated[migration_disabled-worker_failure-chat-stream-tcp]","tests.fault_tolerance.migration","2026-04-09","passed","2026-04-09","","test_vllm","",""
"Test that ValueError is raised when messages list is empty.","0","test_extract_user_text_empty_messages","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","","test_vllm_chat_message_utils","",""
"Test that nvext parameters are passed to the generator.","2","test_generate_with_nvext","components.src.dynamo.sglang.tests","2026-04-09","passed","2026-04-09","TestImageDiffusionWorkerHandler","test_sglang_image_diffusion_handler","",""
"All URLs uncached with cache -> encode worker call, results cached.","3","test_all_uncached_with_cache","components.src.dynamo.vllm.tests.multimodal_utils","2026-04-09","passed","2026-04-09","TestMultimodalEmbeddingLoader","test_vllm_embedding_loader","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","112821","test_request_migration_trtllm_aggregated[migration_disabled-graceful_shutdown-chat-stream-tcp]","tests.fault_tolerance.migration","2026-04-09","passed","2026-04-09","","test_trtllm","",""
"","0","test_roundtrip_with_refs","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","TestOmniInterStageRequest","test_omni_disagg_types","",""
"Single->double->triple identical image requests follow prefix-overlap semantics.","5451","test_vllm_mm_overlap_staircase_single_to_double_to_triple_identical_image","tests.mm_router","2026-04-09","passed","2026-04-09","","test_vllm_mm_router_e2e","",""
"boundary_ratio and guidance_scale_2 are forwarded to sampling params.","0","test_i2v_nvext_params_on_sampling_params","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","TestI2VEngineInputs","test_omni_handler","",""
"","2","test_wake_up_returns_error_for_register_failure","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","","test_vllm_sleep_wake_handlers","",""
"Test that MODEL_EXPRESS_URL env var is used as fallback.","4","test_model_express_url_from_env_var[mx-source]","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","","test_vllm_unit","",""
"_generate_disagg prefills locally, then round-robins to decode worker.","0","test_prefills_then_forwards_to_decode","components.src.dynamo.vllm.tests","2026-04-09","skipped","2026-04-09","TestGenerateDisagg","test_vllm_worker_handler","",""
"","1","test_decode[True]","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestCreate","test_vllm_worker_factory","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_aggregated[migration_disabled-graceful_shutdown-chat-unary-nats]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_vllm","",""
"Cache path: List[Tensor] passed as embeddings.","7","test_embeddings_passed_to_generate_locally","components.src.dynamo.trtllm.tests.request_handlers","2026-04-09","passed","2026-04-09","TestAggregatedHandlerGenerate","test_trtllm_aggregated_handler","",""
"Test that --disaggregation-mode agg --is-decode-worker raises ValueError.","3","test_explicit_default_mode_with_legacy_flag_raises","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","","test_vllm_unit","",""
"Non-positive FPS must be rejected.","0","test_omni_config_invalid_video_fps[-100]","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","","test_omni_args","",""
"","1","test_valid_task_types_accepted","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","TestValidateTtsRequest","test_audio_handler","",""
"","31406","test_vllm_kv_router_without_block_size_specified_in_vllm_args[tcp]","tests.router","2026-04-09","passed","2026-04-09","","test_router_e2e_with_vllm","",""
"When mode is PREFILL and no ep_disaggregated_params, disagg_request_id is set.","2","test_disagg_request_id_populated_in_prefill_mode","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestDisaggRequestId","test_trtllm_handler_base","",""
"Test Kubernetes deployment end-to-end.

    This test:
    1. Deploys the specified configuration to Kubernetes
    2. Waits for all pods to become ready
    3. Port-forwards to the frontend service
    4. Waits for the model to be available
    5. Sends a test chat completion request
    6. Validates the response structure and content

    Args:
        deployment_target: The deployment target containing path and metadata
        deployment_spec: Configured DeploymentSpec from fixture
        namespace: Kubernetes namespace for the deployment
        skip_service_restart: Whether to skip restarting NATS/etcd services (default: True).
            Use --restart-services flag to restart services before deployment.
        request: Pytest request object for accessing test metadata
    ","196536","test_deployment[trtllm-agg]","tests.deploy","2026-04-09","passed","2026-04-09","","test_deploy","",""
"
    End-to-end test for decode worker request migration in disaggregated mode.

    Setup: 1 prefill worker + 2 decode workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","160713","test_request_migration_trtllm_decode[migration_enabled-graceful_shutdown-chat-stream-nats]","tests.fault_tolerance.migration","2026-04-09","passed","2026-04-09","","test_trtllm","",""
"Test that custom values override defaults.","0","test_custom_values","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestDiffusionConfig","test_trtllm_video_diffusion","",""
"Test GAIE disaggregated deployment with vLLM workers.

    Applies the GAIE DynamoGraphDeployment (with CI-built images) and the
    companion HTTPRoute, then verifies inference works end-to-end through
    the full Gateway path.
    ","147024","test_gaie_deployment","tests.deploy","2026-04-09","passed","2026-04-09","","test_deploy","",""
"","1","test_routes_audio","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","TestOutputFormatter","test_output_formatter","",""
"For repeated same two-identical-image request: low first overlap, then increase, then stable.","10131","test_trtllm_mm_overlap_repeated_two_identical_images","tests.mm_router","2026-04-09","passed","2026-04-09","","test_mm_router_e2e","",""
"Validate KV cache prefix reuse with SGLang by sending progressive requests with overlapping prefixes.
    Same flow as test_router_decisions_sglang_multiple_workers; force first request to (worker_id, dp_rank=1).
    Dump events from router and verify:
        * All but one (worker_id, dp_rank) should have no events (due to prefix reuse)
        * The (worker_id, dp_rank) with events should have exactly 4 events (one per request)
        * All events should be on the forced (worker_id, dp_rank=1) (verifying forced routing and prefix reuse)
    ","0","test_router_decisions_sglang_dp[tcp]","tests.router","2026-04-09","skipped","2026-04-09","","test_router_e2e_with_sglang","",""
"Test error handling when registry fails.","1","test_error_handling","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestGetPrometheusExpfmt","test_trtllm_prometheus_utils","",""
"","1","test_finish_reason_included","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","TestTextFormatter","test_output_formatter","",""
"Handlers with different machine_ids produce non-overlapping snowflake IDs.","2","test_different_machine_ids_produce_different_id_ranges","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestDisaggRequestId","test_trtllm_handler_base","",""
"
    configure_vllm_logging() must NOT set VLLM_LOGGING_CONFIG_PATH.
    Subprocesses should use vLLM's built-in DEFAULT_LOGGING_CONFIG instead
    of a config file pointing to dynamo's LogHandler (which requires the
    Rust runtime that is not available in subprocesses).
    ","35","test_no_config_file_written","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","","test_vllm_logging","",""
"Test that invalid inputs raise ValueError.","31","test_decode_invalid_inputs[corrupted-zip]","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestPromptEmbedsDecode","test_vllm_prompt_embeds","",""
"","1","test_extract_multimodal_data_falls_back_to_image_loader_for_decoded_images","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","","test_vllm_video_handler","",""
"Test that MULTIMODAL returns True for is_llm.","0","test_is_llm_true_for_multimodal","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestModality","test_trtllm_video_diffusion","",""
"VideoNvExt and NvCreateVideoRequest serialize/deserialize I2V fields correctly.","0","test_i2v_protocol_roundtrip","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","TestI2VEngineInputs","test_omni_handler","",""
"","0","test_decode[False]","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestCreate","test_vllm_worker_factory","",""
"
    Test dynamo deployments with different configurations.
    ","111142","test_deployment[disaggregated-2]","tests.serve","2026-04-09","passed","2026-04-09","","test_trtllm","",""
"","0","test_agg_worker[DisaggregationMode.DECODE]","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestResolveDisaggregationModeFromLegacyMultimodalFlags","test_backend_args","",""
"","0","test_stage_engine_protocol_satisfied","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","","test_omni_disagg_types","",""
"","1","test_qwen3_tts_detected","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","TestIsTtsModel","test_audio_handler","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_sglang_aggregated[migration_disabled-worker_failure-chat-unary-nats]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_sglang","",""
"","0","test_negative_stage_id_rejected","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","","test_omni_args","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_sglang_aggregated[migration_disabled-worker_failure-completion-stream-nats]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_sglang","",""
"Test decoding embeddings with various shapes and dtypes.","70","test_decode_valid_embeddings_various_shapes[2d-4096]","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestPromptEmbedsDecode","test_vllm_prompt_embeds","",""
"","1","test_raises_on_unsupported_backends[foo]","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestTensorRTLLMEngine","test_trtllm_autodeploy","",""
"","0","test_none_passthrough","tests.serve","2026-04-09","passed","2026-04-09","TestDisaggLogprobsSerializationRoundtrip","test_disagg_logprobs_serialization","",""
"Non-positive ring_degree must be rejected.","1","test_omni_config_invalid_ring_degree[0]","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","","test_omni_args","",""
"","0","test_stage_id_with_stage_configs_path_valid","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","","test_omni_args","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","109177","test_request_migration_trtllm_aggregated[migration_enabled-worker_failure-chat-stream-tcp]","tests.fault_tolerance.migration","2026-04-09","passed","2026-04-09","","test_trtllm","",""
"Config.validate sets use_kv_events from publish_events_and_metrics.","2","test_config_use_kv_events_derived_from_publish_events","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","","test_trtllm_unit","",""
"Test handler initialization.","0","test_initialization","components.src.dynamo.sglang.tests","2026-04-09","passed","2026-04-09","TestImageDiffusionWorkerHandler","test_sglang_image_diffusion_handler","",""
"Stats task exits immediately when log_stats is False.","0","test_periodic_log_stats_skips_when_disabled","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","","test_vllm_engine_monitor_stats","",""
"
    Test dynamo serve deployments with different graph configurations.
    ","100550","test_serve_deployment[agg-request-plane-http]","tests.serve","2026-04-09","passed","2026-04-09","","test_vllm","",""
"
    Test offload → cache reset → onboard cycle with determinism verification.

    Validates that:
    - Initial request triggers offload to CPU cache
    - Cache reset clears GPU cache
    - Repeated request triggers onboard from CPU to GPU
    - Responses are deterministic across the cycle
    ","328","test_offload_and_onboard[llm_server_kvbm0]","tests.kvbm_integration","2026-04-09","passed","2026-04-09","","test_kvbm","",""
"
    End-to-end test for decode worker request migration in disaggregated mode.

    Setup: 1 prefill worker + 2 decode workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_trtllm_decode[migration_disabled-graceful_shutdown-completion-stream-tcp]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_trtllm","",""
"Reasoning + plain content, no tool calls.

    When </think> and the actual response content arrive in the same chunk
    (with finish_reason=stop), the content must still be emitted.  This
    reproduces a regression where the post-reasoning content was
    unconditionally buffered for tool-call extraction and never emitted
    when no tool call was present.
    ","0","test_no_tool_call","tests.frontend","2026-04-09","passed","2026-04-09","","test_prepost","",""
"Test parsing various dimension strings.","0","test_parse_size_different_dimensions","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestVideHandlerParseSize","test_trtllm_video_diffusion","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","51435","test_request_migration_sglang_aggregated[migration_enabled-graceful_shutdown-chat-stream-tcp]","tests.fault_tolerance.migration","2026-04-09","passed","2026-04-09","","test_sglang","",""
"When ep_disaggregated_params has disagg_request_id=None, it gets populated.","1","test_disagg_request_id_set_on_ep_params_with_none","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestDisaggRequestId","test_trtllm_handler_base","",""
"Test that TEXT, MULTIMODAL, and VIDEO_DIFFUSION exist.","1","test_modality_values_exist","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestModality","test_trtllm_video_diffusion","",""
"","1","test_usage_has_prompt_and_completion_tokens","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","TestTextFormatter","test_output_formatter","",""
"
    Test LoRA inference with aggregated vLLM deployment using KV router.

    This test:
    1. Uses MinIO fixture to provide S3-compatible storage with uploaded LoRA
    2. Starts multiple vLLM workers with LoRA support and KV router
    3. Loads the LoRA adapter on both workers via system API
    4. Runs inference with the LoRA model, verifying KV cache routing
    ","60277","test_lora_aggregated_router[2]","tests.serve","2026-04-09","passed","2026-04-09","","test_vllm","",""
"","1","test_encode_worker[DisaggregationMode.PREFILL]","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestResolveDisaggregationModeFromLegacyMultimodalFlags","test_backend_args","",""
"","86","test_unsupported_args_get_pruned_for_autodeploy[engine_args5-True]","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestTensorRTLLMEngine","test_trtllm_autodeploy","",""
"","1","test_quiesce_without_level_uses_vllm_default_sleep","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","","test_vllm_sleep_wake_handlers","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_aggregated[migration_enabled-worker_failure-completion-stream-tcp]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_vllm","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","53225","test_request_migration_vllm_aggregated[migration_disabled-graceful_shutdown-chat-stream-nats]","tests.fault_tolerance.migration","2026-04-09","passed","2026-04-09","","test_vllm","",""
"
    End-to-end test for decode worker request migration in disaggregated mode.

    Setup: 1 prefill worker + 2 decode workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_trtllm_decode[migration_enabled-worker_failure-completion-unary-tcp]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_trtllm","",""
"Verify ChatCompletionRequest has all fields read by prepost.py.

        preprocess_chat_request() accesses these fields after model_validate().
        New fields in vLLM are fine; missing fields break preprocessing.
        ","0","test_chat_completion_request_has_required_fields","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestVllmRendererApi","test_vllm_renderer_api","",""
"
    End-to-end test for decode worker request migration in disaggregated mode.

    Setup: 1 prefill worker + 2 decode workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_trtllm_decode[migration_disabled-worker_failure-completion-stream-nats]","tests.fault_tolerance.migration","2026-04-09","skipped","2026-04-09","","test_trtllm","",""
"Test that NumPy format is rejected (PyTorch format required).","2","test_decode_numpy_format_rejected","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestPromptEmbedsDecode","test_vllm_prompt_embeds","",""
"Cache path: List[Tensor] passed as embeddings.","7","test_embeddings_passed_to_generate_locally","components.src.dynamo.trtllm.tests.request_handlers","2026-04-09","passed","2026-04-09","TestPrefillHandlerGenerate","test_trtllm_prefill_handler","",""
"Test that various value ranges are preserved with float32 precision.","0","test_embedding_value_ranges_preserved[ones]","components.src.dynamo.vllm.tests","2026-04-09","passed","2026-04-09","TestEmbeddingsDataFormats","test_vllm_prompt_embeds","",""
"","61299","test_sglang_indexers_sync[nats_core]","tests.router","2026-04-09","passed","2026-04-09","","test_router_e2e_with_sglang","",""
"
    Test dynamo serve deployments with different graph configurations.
    ","108544","test_serve_deployment[disaggregated]","tests.serve","2026-04-09","passed","2026-04-09","","test_vllm","",""
"","0","test_region_routes_weights_and_kv_cache_to_gms","tests.gms.integration","2026-04-09","passed","2026-04-09","","test_gms_sglang_memory_saver","",""
"Test SGLang deployment scenarios using common helpers","98348","test_sglang_deployment[video_agg_qwen-2]","tests.serve","2026-04-09","passed","2026-04-09","","test_sglang","",""
"
    Test dynamo deployments with different configurations.
    ","54483","test_deployment[video_diffusion-2]","tests.serve","2026-04-09","passed","2026-04-09","","test_trtllm","",""
"
    Test dynamo serve deployments with different graph configurations.
    ","0","test_serve_deployment[agg-router]","tests.serve","2026-04-09","skipped","2026-04-09","","test_vllm","",""
"","0","test_sleep_level_2_unmaps_weights_and_kv_cache","tests.gms.integration","2026-04-09","passed","2026-04-09","","test_gms_vllm_worker","",""
"boundary_ratio outside (0, 1] must be rejected.","0","test_omni_config_invalid_boundary_ratio[1.01]","components.src.dynamo.vllm.tests.omni","2026-04-09","passed","2026-04-09","","test_omni_args","",""
"","0","test_deeply_nested","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestParseDynamicFlags","test_dynamic_flags","",""
"","1","test_bool_false","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestInferType","test_dynamic_flags","",""
"Test response with video data.","0","test_with_video_data","components.src.dynamo.trtllm.tests","2026-04-09","passed","2026-04-09","TestNvVideosResponse","test_trtllm_video_diffusion","",""
